"last_name, first_name","pitcher","ff_avg_spin","si_avg_spin","fc_avg_spin","sl_avg_spin","ch_avg_spin","cu_avg_spin","fs_avg_spin","kn_avg_spin","st_avg_spin","sv_avg_spin"
"Cortes, Nestor","641482","2270","1421","2370",,"1329","2437",,,"2521",
"McClanahan, Shane","663556","2233",,,"2348","1732","2628",,,,
"Sandoval, Patrick","663776","2038","1924",,"2551","1608","2779",,,,
"Kluber, Corey","446372","2275","2074","2463",,"1652","2526",,,,
"Lynch IV, Daniel","663738","2127","2027",,"2018","1671","2096",,,,
"Fedde, Erick","607200","1955","1876","2123",,"1516","2388",,,,
"Cobb, Alex","502171","2009","2092",,"2531",,"2610","1578",,,
"Carrasco, Carlos","471911","2285","2156",,"2456","1311","2654",,,,
"Ryan, Joe","657746","2194","2193",,"2134","2076","2372","2143",,"2269",
"Brubaker, JT","664141","2143","2282",,"2653","1886","2813",,,,
"Singer, Brady","663903","2060","2300",,"2341","2229",,,,,
"Kuhl, Chad","641771","2238","2126",,"2541","1699","2866",,,,
"Cueto, Johnny","456501","2195","2108","2178","2235","1325","2095",,,,
"Wheeler, Zack","554430","2392","2217","2459",,"1557","2654",,,,
"Snell, Blake","605483","2434",,,"2389","1899","2297",,,,
"Montas, Frankie","593423","2357","2243","2396","2410",,,"1467",,,
"Davies, Zach","605200","2188","2042","2145","2505","1672","2583",,,,
"Strider, Spencer","675911","2343",,,"2388","2126",,,,,
"Keller, Brad","641745","2409","2194",,"2541","1618",,,,,
"Greinke, Zack","425844","2286","2197","2371","2448","1644","2433",,,,
"Bubic, Kris","663460","2134","1993",,,"1690","2609",,,,
"Hudson, Dakota","641712","2169","2060",,"2366","1446","2420",,,,
"Wood, Alex","622072","2125","2040",,"2067","1668",,,,,
"Rasmussen, Drew","656876","2398","2402","2612","2514",,"2692",,,"2470",
"Kaprielian, James","621076","2009","1919","2307","2291","1365","2496",,,,
"Otto, Glenn","657248","2263","2237",,,"1681","2461",,,"2590",
"Flexen, Chris","623167","2133","1490","2355","2521","1309","2651",,,"2587",
"Greene, Hunter","668881","2367","2439",,"2363","1993",,,,,
"Detmers, Reid","672282","2105","2035",,"2140","1435","2476",,,"2229",
"Stroman, Marcus","573186","2435","2264","2532","2692",,,"1715",,,"2673"
"Bundy, Dylan","605164","2353","2178",,"2404","1361","2148",,,,
"Scherzer, Max","453286","2387",,"2394","2303","1399","2764",,,,
"Plesac, Zach","668676","2144","2105",,"2125","1626","2182",,,,
"Springs, Jeffrey","605488","2255","1998",,"2188","1415",,,,,
"Mahle, Tyler","641816","2295","1939","2397","2496",,,"1895",,,
"Kirby, George","669923","2177","2244","2149","2185","1471","2179",,,,
"Thompson, Zach","605507","2386","2228","2580",,"1864","2244",,,,
"Gray, Jon","592351","2018","1892",,"2212","1455","2597",,,"2471",
"Gomber, Austin","596295","2156","2094",,"2391","1644","2497",,,,
"Stripling, Ross","548389","2124","2001",,"2301","1680","2377",,,,
"Steele, Justin","657006","2490","2432",,"2687","1697","2539",,,,
"Lynn, Lance","458681","2448","2299","2607","2548","1872","2497",,,,
"Syndergaard, Noah","592789","2139","2123","2161","2151","1534","2136","1438",,,
"Gonsolin, Tony","664062","2325","2766",,"2486",,"2570","1411",,,
"Kopech, Michael","656629","2530","2201",,"2391","1630","2391",,,,
"Anderson, Ian","666120","1938",,,,"1519","1874",,,,
"Bradish, Kyle","680694","2307","2143",,"2483","1427","2517",,,,
"Hill, Rich","448179","2252",,"2273",,"1882","2629",,,"2531",
"Wacha, Michael","608379","2131","2034","2050",,"1583","2173",,,,
"Kremer, Dean","665152","2235","2130","2478",,"1581","2697","1560",,,
"Rogers, Trevor","669432","2423","2185",,"2038","1372",,,,,
"Clevinger, Mike","605182","2315","2203","2471",,"1537","2223",,,"2447",
"Skubal, Tarik","669373","2159","2050",,"2119","1599","2230",,,,
"Peterson, David","656849","2083","2095",,"2325","1639","2304",,,,
"Thompson, Keegan","624522","2369","2342","2553",,"2092","2574",,,"2746",
"Ashby, Aaron","676879","2115","2091",,"2546","1784","2596",,,,
"Espino, Paolo","502179","2228",,,"2622","1423","3006",,,"2739",
"Gray, Sonny","543243","2541","2438","2679","2771","1882","2829",,,"2661",
"Houser, Adrian","605288","2215","2076",,"2265","1547","1984",,,,
"Kikuchi, Yusei","579328","2271","1483","2255","2355","1565","2256",,,,
"Kershaw, Clayton","477132","2407","2404",,"2577","2126","2395",,,,
"Wilson, Bryse","669060","2034","1958","2065","2194","1612","2299","1218",,,
"Junis, Jakob","596001","2111","2193","2427","2473","1396",,,,,
"Odorizzi, Jake","543606","2153","2114","2077","2067",,"2209","1323",,,
"Heasley, Jonathan","669169","2322","2350",,"2277","1871","2615",,,,
"Archer, Chris","502042","2174",,,"2464","1705","2459",,,,
"Hearn, Taylor","621368","2321","2201","2260","2126","1771",,,,,
"Suarez, José","660761","2215","2023",,"2584","1553","2686",,,"2637",
"Blackburn, Paul","621112","2133","2000","2484",,"1810","2605",,,"2567",
"Voth, Austin","608723","2357","1990","2440",,"1920","2974",,,"2741",
"Hutchison, Drew","571800","2256","2303",,"2582","1738",,,,,
"Ashcraft, Graham","668933","2072","2185","2383","2707","1776",,,,,
"Pallante, Andre","669467","2223","2116",,"2337","1574","2836",,,,
"Minor, Mike","501985","2471","2550",,"2699","2175","2437",,,,
"Eovaldi, Nathan","543135","2129","1850","2376","2171",,"2061","1561",,,
"Smyly, Drew","592767","2383","2157","2103",,"1300","2119",,,,
"Martinez, Nick","607259","2334","2350","2380",,"1718","2605",,,,
"White, Mitch","669952","2278","2172",,"1756","1544","2407",,,"2455",
"Sampson, Adrian","592716","2079","2003","2493","2616","1816",,,,,
"Lodolo, Nick","666157","2312","2341",,,"1962","2733",,,,
"Feltner, Ryan","663372","2346","2304",,"2489","1595","2548",,,"2433",
"Lorenzen, Michael","547179","2452","2255","2495","2511","2053","2653",,,"2474",
"Wells, Tyler","669330","2459",,"2537",,"2098","2672",,,"2586",
"Luzardo, Jesús","666200","2224","2113",,"2325","1900",,,,,
"Watkins, Spenser","657093","2262","2052","2455","2642","1647","2571",,,"2588",
"Ureña, José","570632","2158","2189",,"2323","1699",,,,,
"Severino, Luis","622663","2257","2175","2427","2684","1558",,,,,
"Alexander, Tyler","641302","2277","2127","2349","2292","1524",,,,"2343",
"Contreras, Roansy","672710","2389",,,"2489","2080","2728",,,,
"Civale, Aaron","650644","2354","2312","2611","2781",,"2971","1843",,"2842",
"Senzatela, Antonio","622608","2133","2098",,"2100","2082","2206",,,,
"Rodriguez, Eduardo","593958","2173","2148","2193","2170","1873",,,,,
"Garrett, Braxton","666129","2320","2090","2377","2298","1637","2298",,,,
"Williams, Trevor","592866","2241","1916",,"2248","1797","2256",,,,
"Crowe, Wil","640444","2482","2267",,"2779","1740","2463",,,"2801",
"Yarbrough, Ryan","642232","1820","1811","2084",,"1920",,,,"2167","2318"
"Peralta, Freddy","642547","2352",,,"2125","1694","2067",,,,
"Hendricks, Kyle","543294","2022","1889",,,"2040","2983",,,,
"Burke, Brock","656271","2286","2012",,"2158","1991",,,,,
"Crawford, Kutter","676710","2420",,"2423","2429","1441","2271","1125",,,
"Falter, Bailey","663559","2089","1778",,"1967","1567","2125",,,,
"Oller, Adam","670124","2204","2081","2180","1787","1654","2058",,,,"1920"
"Brieske, Beau","689225","2375","2384",,"2187","2219","2262",,,,
"Velasquez, Vince","592826","2417","2248",,"2500","1552","2361",,,,
"Scott, Tanner","656945","2560",,,"2735",,,,,,
"Gore, MacKenzie","669022","2237",,,"1957","2083","2293",,,,
"Moore, Matt","519043","2385",,,,"2020","2434",,,,
"Cessa, Luis","570666","2297","2190",,"2528","1679",,,,,
"Akin, Keegan","669211","2256",,,"2163","1967","2385",,,,
"Smith, Caleb","592761","2435","1594",,"2332","2130","2410",,,,
"Sánchez, Aníbal","434671","2063","1921","2095","2179","1470","1953",,,,
"Heaney, Andrew","571760","2442",,,"2583","2124",,,,,
"Ramírez, Erasmo","541640","2190","2206","2385",,"1657","2562",,,,
"Cabrera, Edward","665795","2288","2259",,"2423","1679","2431",,,,
"Coleman, Dylan","669395","2450","2312",,"2532",,,,,"2439",
"Adon, Joan","672851","2188","2135",,"2061","1886","2263",,,,
"Nelson, Nick","656793","1969","1842",,"2265","1916","2231",,,,
"Chavez, Jesse","445926","1950","1976","2223",,"1826","2512",,,,
"Barlow, Scott","605130","2395","2159",,"2473",,"2513",,,,
"Eflin, Zach","621107","2176","2048","2151","2130","1699","2381",,,,
"Winckowski, Josh","670174","2201","2034","2140","2336","1687",,,,,
"Baker, Bryan","641329","2335",,,"2411","1913",,,,,
"Cishek, Steve","518553","2377","2289",,"2275","2013",,,,,
"De Jong, Chase","608328","2412",,,"2428","1644","2557","1665",,,
"Diekman, Jake","518617","2297","2168",,,"1545",,,,"2850",
"Whitlock, Garrett","676477","2185","2142",,"1939","2046",,,,"1796",
"Rogers, Tyler","643511","2006","1928",,"2300",,,,,,
"Keuchel, Dallas","572971","2196","1940","2167","2316","1551",,,,,
"Richards, Trevor","670950","2222",,,"2116","2505",,,,,
"López, Jorge","605347","2064","1989",,"2369","1699","2449",,,,
"Alexander, Jason","669920","2140","2066",,,"1806",,,,"2512",
"Jax, Griffin","643377","2391","2346",,,"1580","2736",,,"2844",
"Phelps, David","475479","2365","2210","2420",,"2171","2532",,,,
"Wick, Rowan","592858","2255","1777","2241","2149","723","2604",,,,
"Smeltzer, Devin","656970","2277","2023","2159",,"1599","2555",,,"2544",
"Zimmermann, Bruce","669145","2335","2312","2362","2434","1938","2405",,,,
"Pagán, Emilio","641941","2517",,"2363","2477",,"2632","1531",,,
"Barria, Jaime","642545","2304","2160",,"2191","1611",,,,,
"Doval, Camilo","666808",,"2472","2531","2580",,,,,,
"Davis, Austin","656354","2253","2124","2206",,"1896","2415",,,"2375",
"Ruiz, José","614179","2354","2303",,,"1795","2283",,,,
"Winder, Josh","680739","2023",,,"2118","1516","2156",,,,
"Minter, A.J.","621345","2425",,"2603",,"1650",,,,,
"Soto, Gregory","642397","2366","2374",,"2385","2154",,,,,
"Stratton, Chris","608717","2632","2495",,"2868","2228","3188",,,,
"Hernández, Elieser","622694","2097","2054",,"2103","1922",,,,,
"Montero, Rafael","606160","2336","2230",,"2345","2056",,,,,
"Brebbia, John","605154","2313","1783",,"2548",,,,,,
"Boxberger, Brad","502202","2385",,,"2461","1332",,,,,
"Milner, Hoby","571948","1970","1989",,,"1783",,,,"1887",
"Maton, Phil","664208","2491","2210","2600",,"2243","2998",,,"2669",
"Leiter Jr., Mark","643410","1953","1909","2085","2211",,"2264","842",,,
"McHugh, Collin","543521","2333",,"2511",,,"2723",,,"2784",
"Rogers, Taylor","573124","2223","2168",,,,,,,"2693",
"Vest, Will","676684","2079","1746",,"2391","1571",,,,,
"Strickland, Hunter","519326","2352","2229","2722","2814","1803",,,,,
"Germán, Domingo","593334","2542","2468",,,"2368","2617",,,,
"Sears, JP","676664","2152",,,,"1878","2507",,,"2506",
"Lugo, Seth","607625","2244","2319",,"2441","1774","3253",,,,
"Tate, Dillon","622253",,"1969",,"2055","1649",,,,"2440",
"Kimbrel, Craig","518886","2264",,,,,"2536",,,"2568",
"Beede, Tyler","595881","2079","2127",,"2068","1617","2060",,,,
"Puk, A.J.","640462","2285","2183",,"2234","2068",,,,"2223",
"Suter, Brent","608718","2147","2084",,"2305","1477",,,,,
"Williams, Devin","642207","2268",,"2464","2375","2739",,,,,
"Crismatt, Nabil","622503","2155","2102",,"2102","1696","2227",,,,
"Ottavino, Adam","493603","2351","2252","2564",,"2080",,,,"2701",
"Díaz, Alexis","664747","2657","1938",,"2750",,"2864",,,,
"Finnegan, Kyle","640448","2069",,,"2134",,,"1099",,,
"Robertson, David","502085",,,"2611","2651",,"2639",,,,
"Hicks, Jordan","663855","1949","2042",,"2421","1775",,"1248",,"2487",
"Armstrong, Shawn","542888","2302","2151","2458",,,,,,"2589","2518"
"Buehler, Walker","621111","2267","2161","2411",,"1550","2662",,,"2673",
"Lange, Alex","656638","2290","2219",,,"1699","2186",,,,
"Cimber, Adam","643256","2172","2140",,"2473",,,,,,
"Fulmer, Michael","605242","2303","2188","2414",,"1503","2409",,,,
"Martin, Davis","663436","2356",,,"2697","2192","2627",,,,
"García, Yimi","554340","2456","2246",,"2454","1877","2694",,,,
"Pilkington, Konnor","663455","2220",,,"2234","1742","2177",,,,
"Graveman, Kendall","608665","2364","2227",,"2494","1763","2494",,,,
"Hernández, Carlos","672578","2367","2168",,"2026",,"2278","1183",,,
"Stephan, Trevor","663986","2479",,,"2590",,,"1273",,,
"Sanmartin, Reiver","665665","2216","2222",,"2433","1998",,,,,
"Muñoz, Andrés","662253","2289","2381",,"2226",,,,,,
"Duran, Jhoan","661395","2174","1857",,"2320",,"2660","1659",,,
"Logue, Zach","656657","2011","1885","2247",,"1873","2425",,,,
"Estévez, Carlos","608032","2241","2152",,"2281","1660","2173",,,,
"Givens, Mychal","571710","2426","2195",,"2575","2067",,,,,
"Schreiber, John","670167","2236","2185",,,"1649",,,,"2614",
"Hill, Garrett","682051","2159","2103",,"2527","1368","2634",,,,
"Abreu, Bryan","650556","2312","2478",,"2766","1806","2944",,,,
"Morgan, Eli","669212","2268",,"2285","2274","2098","2223",,,,
"García, Jarlín","606424","2035","2214",,"2251","2112",,,,,
"Martínez, Adrián","661309","2157",,,"1936","2289",,,,,
"Edwards Jr., Carl","605218","2523","1849",,,"1662","2120",,,,
"Neris, Héctor","593576","2448","2345",,"1975",,,"1136",,,
"Norris, Daniel","596057","2350","2257",,"2531","1426","2402",,,"2632",
"Jansen, Kenley","445276",,"2232","2564","2459",,,,,,
"Sanchez, Aaron","592717","2148","2127",,,"1708","2632",,,,
"Acevedo, Domingo","642758","2119",,,"2123","1867",,,,,
"Underwood Jr., Duane","621249","2261","2087","2094",,"1502","2402",,,,
"Murfee, Penn","682171","2279","2073",,,,,,,"2645",
"Beeks, Jalen","656222","2122","2021","2279","2228","1933",,,,,
"Machado, Andrés","600921","2113","2039",,"2010","1519",,,,,
"Bello, Brayan","678394","2202","2122",,"2497","1876","2448",,,,
"Thielbar, Caleb","573204","2298",,,,"1117","2455",,,"2362",
"Herget, Jimmy","623474","2259","2248",,"2608","1514","2732",,,,
"Bautista, Félix","642585","2312","2342",,"2458",,,"1110",,,
"Santana, Dennis","642701","2515","2421",,"2675","2069",,,,,
"Bickford, Phil","641360","2361",,,"2293","2185",,,,,
"Manning, Matt","666159","2058","1909",,"2146","1367","2282",,,"2178",
"Romano, Jordan","605447","2290","2405",,"2082",,,,,,
"Gallegos, Giovanny","606149","2386","2353",,"2475","1910",,,,,
"Bass, Anthony","542914","2026","1989",,"2219",,,"1294",,,
"Brasier, Ryan","518489","2270","2231",,"2469","1340",,,,,
"López, Reynaldo","625643","2249",,,"2263","1590","2513",,,,
"Smith, Will","519293","2179","2183",,"2259","2023","1883",,,,
"Oviedo, Johan","670912","2275",,,"2585","1747","2465",,,,
"Iglesias, Raisel","628452","2319","2319",,"2561","1885",,,,,
"Krehbiel, Joey","607216","2175",,"2465","2478","1495",,,,,
"Holmes, Clay","605280",,"2208",,"2525",,,,,"2578",
"Poche, Colin","621363","2230",,,"2480",,"2564",,,,
"Sewald, Paul","623149","2500","1901",,,,,,,"2422",
"Luetge, Lucas","476595","2614",,"2591","2686",,"2428",,,"2691",
"Shaw, Bryan","543766","2318","2149","2410","2475","1652","2231","931",,"2609",
"Okert, Steven","595345","2235",,,"2486",,,,,,
"Faedo, Alex","656412","2180","1953",,"2486","1945",,,,,
"Loup, Aaron","571901","2320","2129","2323",,"1946","2343",,,,
"García, Luis","472610","2242","2142",,"2372",,,"1098",,"2497",
"Bellatti, Andrew","571479","2436",,,"2398","1697",,,,,
"Helsley, Ryan","664854","2643",,,"2463","1564","2533",,,,
"Foley, Jason","671345","2209","2033",,"2240","1594",,,,"2189",
"Trivino, Lou","642152","1992","2023","2277",,"1690","2180",,,"2558",
"Bard, Daniel","453268","2673","2505",,"2776","2264",,,,,"2610"
"Payamps, Joel","606303","2429","2260",,"2718","1993",,,,,
"Hughes, Brandon","676714","2318","2193",,"2372","1964",,,,,
"Vesia, Alex","681911","2326",,,"2415","1967",,,,,
"Hendriks, Liam","521230","2399","2021",,"2201",,"2189",,,,
"Hentges, Sam","656529","2264","2130",,"2317",,"2514",,,,
"Stephens, Jackson","623451","2067","1900",,"2457","1505","2974",,,,
"Hader, Josh","623352","1803","2009",,"2460","1599",,,,,
"Adam, Jason","592094","2654",,,,"2016",,,,"2719",
"deGrom, Jacob","594798","2516",,,"2580","1613","2691",,,,
"Jiménez, Joe","641729","2462","2067",,"2226","2200",,,,,
"Brash, Matt","666374","2233",,,"2883","2050","2971",,,,
"Schmidt, Clarke","657376","2522","2408",,,"2128","2913",,,"2856",
"Díaz, Edwin","621242","2352",,,"2274",,,,,,
"Kuhnel, Joel","669270","2224","2240",,"2365","1483",,,,,
"Phillips, Evan","623465","2325","2052","2399",,,,,,"2535",
"Clase, Emmanuel","661403","2548","2604","2653","2653",,,,,,
"Houck, Tanner","656557","2134","2049",,"2556",,,"1656",,,
"Stephenson, Robert","596112","2389","2317",,"2914",,"2936","1521",,,
"Davidson, Tucker","656353","2017","1966",,"2294","1727","2473","1212",,,
"Bush, Matt","456713","2527","2244","2616",,,"2480",,,,
"Pérez, Cionel","672335","2194","2259",,,,"2831",,,,"2602"
"Chafin, Andrew","605177","2148","2100",,"2485","1759",,,,,
"Festa, Matt","670036","2332","2033",,,,,,,"2567",
"Banks, Tanner","621383","2270",,,"2321","1778",,,,"2299",
"Stanek, Ryne","592773","2307",,,"2513",,,"1040",,,
"Rucker, Michael","621074","2271","2074","2364","2476","1787","2523",,,,
"Tepera, Ryan","572193","2224","2182",,"2307","1229","2260",,,"2422",
"Mayers, Mike","594577","2293","2171","2288","2145","1574","2404",,,,
"Jackson, Zach","667427","2120",,"2204","2461","1230",,,,,
"Melancon, Mark","453343","2322","2327","2266","2314",,"2587","1831",,,
"García, Rony","665621","2337","2248",,,"1748","2343",,,,
"Alvarado, José","621237","2008","2095","2207",,,"2465",,,,
"Swanson, Erik","657024","2291",,,"2311",,,"1152",,,
"Wilson, Steven","621051","2366",,,"2610","2122",,,,"2693",
"Elder, Bryce","693821","2156","1970",,"2413","2110",,,,,
"Kennedy, Ian","453178","2447",,"2075","2462","1988","2595","1147",,,
"Floro, Dylan","571670","2178","2127",,"1891","1819",,,,,
"Mantiply, Joe","573009","2149","2192",,,"1702","2336",,,,
"Clarke, Taylor","664199","2268",,,"2177","1536",,,,,
"Martin, Chris","455119","2183","2053","2158",,,"2574","1507",,"2425",
"Marte, Yunior","628708","2392","2343",,"2601","2462",,,,,
"Ober, Bailey","641927","2301",,,"2175","1818","2242",,,,
"Matz, Steven","571927",,"2260",,"2160","2322","2371",,,,
"Hoffman, Jeff","656546","2457","2482",,"2691","2269",,"1571",,,
"Raley, Brooks","548384","2452","2311","2551",,"1901",,,,"2940",
"Abbott, Cory","676265","2253",,,"2133",,"2291",,,,
"De Los Santos, Enyel","660853","2251",,,"2143","1861",,,,,
"Rodríguez, Joely","570257","2032","1955",,"2266","1069",,,,,
"Bednar, David","670280","2298",,,,,"2436","1562",,,
"Castillo, Diego","650895","1957","1999",,"2260",,,,,,
"Sawamura, Hirokazu","617228","2112",,,"2298",,,"1418",,,
"Farmer, Buck","571656","2325",,,"2688","1678",,,,,
"Ramirez, Noé","598287","2187",,,,"2023","2524",,,,
"Wantz, Andrew","681806","2371","1711","2567",,"1632",,,,"2430",
"Leone, Dominic","608678","2322","2420","2404","2453",,,,,,
"Domínguez, Seranthony","622554","2357","2312","2473","2441","1783",,,,,
"Lambert, Jimmy","669424","2221",,,"2583","1576","2597",,,,
"Familia, Jeurys","544727","2297","2188",,"2183",,,"1806",,,
"Hand, Brad","543272","2354","2288",,,,,,,"2282",
"Peralta, Wandy","593974","2213","2187",,"2241","2184",,,,,
"Effross, Scott","664123","2248","2217",,"2380","2067",,,,"2451",
"Pruitt, Austin","643493","2264",,,"2562","1671","2899",,,,
"Garrett, Amir","607237","2233","2173",,"1848",,,,,,
"Colomé, Alex","517008","2125","2180","2153",,,,,,,
"Suarez, Robert","663158","2311","2232","2214","2186","1763","2134",,,,
"Gilbreath, Lucas","656458","2371",,,"2392",,,"1188",,,
"Knebel, Corey","608349","2369",,,"2543",,"2832",,,,
"Megill, Tylor","656731","2171",,"2220","2295","1546","2369",,,,
"Chacín, Jhoulys","468504","2391","2305",,"2630","1469","2564",,,,
"Leclerc, José","600917","2641","2146","2781","2583","2153",,,,,
"Smith, Drew","622098","2503","2505",,"2812","1964","2809",,,,
"Snead, Kirby","669912","2492","2403",,"2788","2222",,,,,
"Megill, Trevor","656730","2448","1801",,"2747",,"2759",,,,
"Henry, Tommy","674072","2185",,,"2193","1435","2389",,,,
"Foster, Matt","641582","2243",,"2258","2298","1824","2150",,,,
"King, Michael","650633","2432","2375",,,"2152",,,,"2785",
"Bleier, Richard","542947","2127","2036","1995","2017","1533",,"1947",,,
"Strahm, Matt","621381","2304","2248","2392","2609","2154","2670",,,,
"Lawrence, Justin","664875","2476","2280",,,,,,,"2797",
"Gott, Trevor","641627","2202","2038","2258",,"1429","2073",,,,
"Loáisiga, Jonathan","642528","2423","2317",,,"1943","2624",,,,
"McCullers Jr., Lance","621121","2211","2100","2573","2860","1717","3013",,,,
"Littell, Zack","641793","2132","2099",,"2220",,,"880",,,
"Marinaccio, Ron","676760","2325",,,,"1981",,,,"2354",
"Lee, Dylan","669276","2261","2060",,"2080","1525",,,,,
"Nance, Tommy","667297","2340","2327",,"2652",,"2886",,,,
"Martin, Brett","656685","2149","2200",,"2207",,"2250",,,,
"Wisler, Matt","605538","1939","2004",,"2479","1105",,,,,
"King, John","667463",,"2066","2433","2700","1638",,,,"2636",
"Castellanos, Humberto","528748","2134","2030","2074",,"1410","2406",,,,
"Hill, Tim","657612","2216","2066","1963","2008",,,,,,
"Bird, Jake","656234","1959","1951","2354",,"1730","2832",,,,
"Cotton, Jharel","605194","2263",,,"2440","2392","2614",,,,
"Duffey, Tyler","608648","2276","2401",,"2381","1863","2479",,,,
"Sandlin, Nick","680704","2325","2149",,"2617",,,"1507",,,
"Long, Sam","669674","2208","2034",,,"1946","2520",,,,
"Weems, Jordan","607179","2134",,,"2233",,"2187","992",,,
"Pepiot, Ryan","686752","2410","1971",,"2693","2374",,,,,
"Moll, Sam","594580",,"2523",,,,,,,"3182",
"Cabrera, Génesis","650893","2228","2211","2121",,"1768","2402",,,,
"Mayza, Tim","641835","1993","2032",,"2200",,,,,,
"Pineda, Michael","501381","1934",,,"1933","1713",,,,,
"Staumont, Josh","622251","2261","2188",,"2779",,"2689",,,,
"Weaver, Luke","596133","2377","1983",,"2256","1664","2303",,,,
"Bañuelos, Manny","544365","2061","1827",,"2389","1703","2467",,,,
"Matzek, Tyler","554431","2443","2883",,"2808",,"2641",,,,
"Pressly, Ryan","519151","2512","2593",,"2729","1974","3272",,,,
"Brogdon, Connor","641401","2294",,"2376",,"2060",,,,,
"Richards, Garrett","572070","2310","2382",,"2605","1690","2859",,,,
"Abreu, Albert","656061","2149","2200",,"2265","1914",,,,,
"Ragans, Cole","666142","2401",,"2419",,"2210","2220",,,,
"Karinchak, James","675916","2349",,,,,"2398",,,,
"Kelly, Joe","523260","2233","2169",,"2908","2045","2868",,,,
"Stammen, Craig","489334","2174","2214","2315","2382","1703","2321",,,,
"Castillo, Max","666721","2190","2904",,"2377","1615",,,,,
