"year","last_name, first_name","pitcher_id","team_name","team_name_abbrev","pitch_hand","avg_speed","pitches_thrown","total_pitches","pitches_per_game","pitch_per","pitch_type","pitch_type_name","pitcher_break_z","league_break_z","diff_z","rise","pitcher_break_z_induced","pitcher_break_x","league_break_x","diff_x","tail","percent_rank_diff_z","percent_rank_diff_x"
"2023","Strider, Spencer","675911","Braves","ATL","R","97.2","1826","3099",19.12962962962963,0.5892223297838012,"FF","4-Seam Fastball",10.6,-13.1,2.5,"19",18.4,6,-7.7,-1.6,"-21",0.9614457831325302,0.26265060240963856
"2023","Cole, Gerrit","543037","Yankees","NYY","R","96.7","1737","3281",20.253086419753085,0.5294117647058824,"FF","4-Seam Fastball",12,-13.6,1.6,"12",17.4,8.4,-7.9,0.5,"6",0.8650602409638555,0.5277108433734939
"2023","Burnes, Corbin","669203","Brewers","MIL","R","94.4","1706","3079",19.006172839506174,0.5540759987008769,"FC","Cutter",19.2,-19.7,0.5,"2",11.2,3.1,2.1,1,"47",0.6111111111111112,0.7160493827160493
"2023","Javier, Cristian","664299","Astros","HOU","R","92.8","1682","2882",17.790123456790123,0.5836224843858432,"FF","4-Seam Fastball",13.3,-16,2.7,"17",18.6,5.6,-7.5,-2,"-26",0.9759036144578314,0.21927710843373494
"2023","Steele, Justin","657006","Cubs","CHC","L","91.8","1682","2678",16.530864197530864,0.6280806572068708,"FF","4-Seam Fastball",21.5,-16.2,-5.3,"-33",10.8,1.3,-6.4,-7.6,"-120",0.016867469879518072,0.00963855421686747
"2023","Gallen, Zac","668678","D-backs","AZ","R","93.5","1614","3248",20.049382716049383,0.49692118226600984,"FF","4-Seam Fastball",14.4,-15.1,0.8,"5",17,3,-6.8,-3.8,"-57",0.6987951807228916,0.09156626506024096
"2023","Gausman, Kevin","592332","Blue Jays","TOR","R","94.7","1555","3069",18.944444444444443,0.5066797002280873,"FF","4-Seam Fastball",13.8,-14.8,1,"7",16.9,10.6,-7.4,3.2,"43",0.7421686746987952,0.8361445783132531
"2023","Snell, Blake","605483","Padres","SD","L","95.5","1539","3168",19.555555555555557,0.48579545454545453,"FF","4-Seam Fastball",11.4,-13,1.6,"12",18.8,4.6,-5.7,-1.1,"-20",0.8650602409638555,0.3253012048192771
"2023","Ryan, Joe","657746","Twins","MIN","R","92.3","1525","2683",16.561728395061728,0.5683935892657473,"FF","4-Seam Fastball",17.5,-17.8,0.2,"1",14.6,10.3,-9.4,0.9,"10",0.5879518072289157,0.5807228915662651
"2023","Heaney, Andrew","571760","Rangers","TEX","L","92.5","1506","2603",16.067901234567902,0.5785631963119477,"FF","4-Seam Fastball",18.3,-17.6,-0.8,"-4",13.9,15.9,-9.4,6.4,"68",0.3397590361445783,0.9879518072289156
"2023","Kopech, Michael","656629","White Sox","CWS","R","95.2","1496","2430",15,0.6156378600823045,"FF","4-Seam Fastball",13.1,-14.5,1.4,"10",17.2,9,-7.6,1.5,"19",0.8433734939759037,0.6698795180722892
"2023","Gore, MacKenzie","669022","Nationals","WSH","L","95","1464","2462",15.197530864197532,0.59463850528026,"FF","4-Seam Fastball",12.9,-14.1,1.2,"8",17.4,4.2,-6.9,-2.7,"-38",0.7903614457831325,0.15180722891566265
"2023","Peralta, Freddy","642547","Brewers","MIL","R","94.4","1453","2839",17.52469135802469,0.5117999295526594,"FF","4-Seam Fastball",15.3,-16.1,0.9,"5",15.5,6.9,-8.8,-1.9,"-21",0.708433734939759,0.23132530120481928
"2023","Sears, JP","676664","Athletics","OAK","L","93.1","1437","2867",17.69753086419753,0.5012207882804325,"FF","4-Seam Fastball",16.9,-17.2,0.3,"2",14.7,11.2,-9.4,1.7,"18",0.6024096385542169,0.7036144578313253
"2023","Castillo, Luis","622491","Mariners","SEA","R","96.3","1420","3207",19.796296296296298,0.4427814156532585,"FF","4-Seam Fastball",16,-15.6,-0.4,"-3",13.6,12,-10.6,1.4,"13",0.40963855421686746,0.655421686746988
"2023","Cease, Dylan","656302","White Sox","CWS","R","95.6","1408","3262",20.135802469135804,0.4316370324954016,"FF","4-Seam Fastball",11.2,-13.7,2.6,"19",18.8,3.2,-7,-3.9,"-55",0.9662650602409638,0.08433734939759036
