"year","last_name, first_name","pitcher_id","team_name","team_name_abbrev","pitch_hand","avg_speed","pitches_thrown","total_pitches","pitches_per_game","pitch_per","pitch_type","pitch_type_name","pitcher_break_z","league_break_z","diff_z","rise","pitcher_break_z_induced","pitcher_break_x","league_break_x","diff_x","tail","percent_rank_diff_z","percent_rank_diff_x"
"2024","Gore, MacKenzie","669022","Nationals","WSH","L","96","1658","2994",18.48148148148148,0.5537742150968604,"FF","4-Seam Fastball",12.1,-13.7,1.6,"11",17.6,5.9,-7.3,-1.4,"-19",0.8629807692307693,0.28125
"2024","Peralta, Freddy","642547","Brewers","MIL","R","94.3","1650","3066",18.925925925925927,0.538160469667319,"FF","4-Seam Fastball",14.2,-15.7,1.4,"9",16.7,6.8,-8.4,-1.6,"-19",0.8317307692307693,0.25
"2024","Rodón, Carlos","607074","Yankees","NYY","L","95.4","1531","3102",19.14814814814815,0.4935525467440361,"FF","4-Seam Fastball",12.4,-13.6,1.3,"9",17.8,8.8,-7.1,1.7,"24",0.8125,0.6971153846153846
"2024","Gausman, Kevin","592332","Blue Jays","TOR","R","94","1488","2868",17.703703703703702,0.5188284518828452,"FF","4-Seam Fastball",14.2,-15.2,1,"7",17,10.7,-7.4,3.3,"44",0.7379807692307693,0.8846153846153846
"2024","Greene, Hunter","668881","Reds","CIN","R","97.6","1415","2563",15.820987654320987,0.5520873975809598,"FF","4-Seam Fastball",12.2,-12.8,0.5,"4",16.6,8.9,-7.6,1.2,"16",0.6442307692307693,0.6394230769230769
"2024","Heaney, Andrew","571760","Rangers","TEX","L","91.6","1398","2731",16.858024691358025,0.5119004027828634,"FF","4-Seam Fastball",19.2,-18.5,-0.7,"-4",13.8,15.7,-10.3,5.4,"53",0.3870192307692308,0.9735576923076923
"2024","Cease, Dylan","656302","Padres","SD","R","96.9","1386","3188",19.679012345679013,0.4347553324968632,"FF","4-Seam Fastball",10.8,-13,2.2,"17",18.4,2.5,-7.4,-5,"-67",0.9375,0.057692307692307696
"2024","Kikuchi, Yusei","579328","Astros","HOU","L","95.5","1374","2923",18.15527950310559,0.4700650017105713,"FF","4-Seam Fastball",13.2,-14.8,1.6,"11",16.9,7.9,-8.4,-0.5,"-6",0.8629807692307693,0.4110576923076923
"2024","Cease, Dylan","656302","Padres","SD","R","87.7","1371","3188",19.679012345679013,0.4300501882057716,"SL","Slider",33.6,-33.5,0.1,"0",1.9,2.2,3.9,-1.8,"-45",0.5146579804560261,0.254071661237785
"2024","Burnes, Corbin","669203","Orioles","BAL","R","95.3","1348","2995",18.487654320987655,0.45008347245409014,"FC","Cutter",17.5,-18.3,0.8,"4",12.5,2.4,1.8,0.6,"36",0.6848484848484848,0.6484848484848484
"2024","Imanaga, Shota","684007","Cubs","CHC","L","91.7","1343","2590",15.987654320987655,0.5185328185328185,"FF","4-Seam Fastball",14.4,-17,2.6,"15",18.3,10.2,-8.1,2.1,"26",0.9663461538461539,0.7451923076923077
"2024","Nelson, Ryne","669194","D-backs","AZ","R","95.2","1341","2406",14.851851851851851,0.557356608478803,"FF","4-Seam Fastball",11.9,-13.9,2,"14",18.3,5.7,-6.9,-1.2,"-17",0.9182692307692307,0.3125
"2024","Sánchez, Cristopher","650911","Phillies","PHI","L","94.5","1324","2797",17.265432098765434,0.4733643189131212,"SI","Sinker",23.2,-20.8,2.4,"12",7.5,17.8,-14.4,3.4,"24",0.8013937282229965,1
"2024","Ragans, Cole","666142","Royals","KC","L","95.4","1299","3118",19.246913580246915,0.41661321359846054,"FF","4-Seam Fastball",12.9,-13.6,0.8,"6",17.3,12.6,-7.1,5.5,"78",0.6971153846153846,0.9759615384615384
"2024","Gil, Luis","661563","Yankees","NYY","R","96.6","1298","2664",16.444444444444443,0.4872372372372372,"FF","4-Seam Fastball",12.2,-13.5,1.3,"10",17.2,5.6,-7.6,-1.9,"-26",0.8125,0.21875
"2024","Castillo, Luis","622491","Mariners","SEA","R","95.6","1296","2858",17.641975308641975,0.4534639608117565,"FF","4-Seam Fastball",17.8,-17.3,-0.5,"-3",12.2,12.5,-11.4,1,"9",0.4206730769230769,0.6057692307692307
"2024","Wheeler, Zack","554430","Phillies","PHI","R","95.3","1296","3134",19.34567901234568,0.4135290363752393,"FF","4-Seam Fastball",15.5,-15.1,-0.4,"-3",14.6,9.5,-8.8,0.8,"9",0.43509615384615385,0.5817307692307693
"2024","Crochet, Garrett","676979","White Sox","CWS","L","97.1","1284","2395",14.783950617283951,0.5361169102296451,"FF","4-Seam Fastball",13.5,-12.8,-0.7,"-6",15.6,8.1,-7.2,1,"13",0.3870192307692308,0.6057692307692307
"2024","Webb, Logan","657277","Giants","SF","R","92.6","1270","3200",19.753086419753085,0.396875,"SI","Sinker",30.9,-25.4,5.5,"22",1.1,15.1,-15.5,-0.3,"-2",0.9686411149825784,0.34494773519163763
"2024","Cortes, Nestor","641482","Yankees","NYY","L","92.1","1266","2849",17.58641975308642,0.44436644436644435,"FF","4-Seam Fastball",13.2,-15.8,2.6,"16",19.2,4.9,-7.3,-2.4,"-33",0.9663461538461539,0.16105769230769232
"2024","Abbott, Andrew","671096","Reds","CIN","L","92.8","1249","2333",14.401234567901234,0.5353621945992285,"FF","4-Seam Fastball",15.5,-15.7,0.2,"1",16.3,8.9,-7.1,1.8,"25",0.5745192307692307,0.7115384615384616
"2024","Bibee, Tanner","676440","Guardians","CLE","R","94.6","1236","2851",17.70807453416149,0.4335320940021045,"FF","4-Seam Fastball",14.7,-14.1,-0.6,"-4",15.8,4.2,-6.8,-2.6,"-38",0.40625,0.15144230769230768
"2024","Singer, Brady","663903","Royals","KC","R","92.2","1235","2966",18.308641975308642,0.41638570465273095,"SI","Sinker",22.6,-25.1,-2.5,"-10",9.5,14.3,-15.3,-1.1,"-7",0.23693379790940766,0.21254355400696864
"2024","Steele, Justin","657006","Cubs","CHC","L","91.6","1221","2046",12.62962962962963,0.5967741935483871,"FF","4-Seam Fastball",19.2,-16.1,-3.2,"-20",13.2,0.3,-6.7,-6.4,"-96",0.08413461538461539,0.02403846153846154
"2024","Bassitt, Chris","605135","Blue Jays","TOR","R","92.5","1207","2959",18.265432098765434,0.4079080770530585,"SI","Sinker",23.9,-24.3,-0.3,"-1",8.1,16.5,-15.2,1.3,"8",0.5156794425087108,0.7804878048780488
"2024","López, Pablo","641154","Twins","MIN","R","95","1205","2986",18.432098765432098,0.40354989953114534,"FF","4-Seam Fastball",15.7,-14.6,-1.2,"-8",14.5,5.6,-7.7,-2.1,"-27",0.28125,0.20673076923076922
"2024","Valdez, Framber","664285","Astros","HOU","L","94.1","1201","2598",16.13664596273292,0.46227867590454197,"SI","Sinker",24.8,-22.8,2,"9",6.3,16.5,-15.1,1.4,"10",0.7630662020905923,0.7979094076655052
"2024","Singer, Brady","663903","Royals","KC","R","83","1196","2966",18.308641975308642,0.40323668240053945,"SL","Slider",40.5,-38.5,2,"5",-1,4.5,6.1,-1.6,"-27",0.745928338762215,0.28338762214983715
"2024","Harrison, Kyle","690986","Giants","SF","L","92.6","1196","2078",12.82716049382716,0.575553416746872,"FF","4-Seam Fastball",21.3,-18.2,-3.1,"-17",10.8,14.7,-10.5,4.2,"40",0.09134615384615384,0.9230769230769231
"2024","Morton, Charlie","450203","Braves","ATL","R","81.5","1183","2791",17.228395061728396,0.42386241490505194,"CU","Curveball",50.2,-49.7,0.6,"1",-8.9,13.6,10.1,3.6,"35",0.4714285714285714,0.8333333333333334
"2024","Parker, Mitchell","680730","Nationals","WSH","L","92.5","1168","2404",14.839506172839506,0.4858569051580699,"FF","4-Seam Fastball",14.4,-15.5,1.1,"7",17.6,5.2,-6.6,-1.3,"-21",0.7572115384615384,0.3004807692307692
"2024","López, Reynaldo","625643","Braves","ATL","R","95.5","1164","2110",13.024691358024691,0.5516587677725119,"FF","4-Seam Fastball",13.6,-14.2,0.6,"4",16.4,7.4,-7.5,-0.1,"-1",0.6730769230769231,0.45913461538461536
"2024","Gallen, Zac","668678","D-backs","AZ","R","93.7","1160","2506",15.469135802469136,0.46288906624102155,"FF","4-Seam Fastball",14.3,-15.1,0.8,"5",16.9,4.7,-7.1,-2.4,"-34",0.6971153846153846,0.16105769230769232
"2024","Pivetta, Nick","601713","Red Sox","BOS","R","93.9","1158","2386",14.728395061728396,0.4853310980720872,"FF","4-Seam Fastball",11.2,-13.5,2.3,"17",19.9,4,-5.7,-1.6,"-29",0.9471153846153846,0.25
"2024","Miller, Bryce","682243","Mariners","SEA","R","95.2","1157","2749",16.969135802469136,0.42088032011640597,"FF","4-Seam Fastball",11.9,-14.7,2.7,"19",18.3,6.3,-7.8,-1.5,"-19",0.9711538461538461,0.2692307692307692
"2024","Anderson, Tyler","542881","Angels","LAA","L","89.5","1155","2914",17.987654320987655,0.3963623884694578,"FF","4-Seam Fastball",14.7,-16.8,2.1,"13",19.7,4.1,-5.4,-1.3,"-24",0.9254807692307693,0.3004807692307692
"2024","Irvin, Jake","663623","Nationals","WSH","R","93.9","1148","3046",18.80246913580247,0.3768877216021011,"FF","4-Seam Fastball",16.6,-14.9,-1.7,"-11",14.3,10.1,-7.2,2.9,"40",0.21634615384615385,0.8389423076923077
"2024","Sale, Chris","519242","Braves","ATL","L","78.6","1135","2815",17.376543209876544,0.40319715808170514,"SL","Slider",49.3,-45.4,3.8,"8",-4.7,11,9.3,1.7,"18",0.9120521172638436,0.758957654723127
"2024","Flaherty, Jack","656427","Dodgers","LAD","R","93.3","1135","2569",15.858024691358025,0.4418061502530167,"FF","4-Seam Fastball",15.9,-16,0.1,"0",15.4,4.2,-8,-3.9,"-48",0.5504807692307693,0.0889423076923077
"2024","Houck, Tanner","656557","Red Sox","BOS","R","83.2","1131","2735",16.882716049382715,0.41352833638025593,"ST","Sweeper",41.7,-38.9,2.9,"7",-2,16.7,14.1,2.6,"19",0.8243243243243243,0.8445945945945946
"2024","Suárez, Albert","544150","Orioles","BAL","R","94.8","1116","2233",13.783950617283951,0.4997760859829825,"FF","4-Seam Fastball",14.1,-13.8,-0.3,"-2",16.4,7,-6.6,0.4,"7",0.4495192307692308,0.5216346153846154
"2024","Bello, Brayan","678394","Red Sox","BOS","R","95.7","1093","2710",16.728395061728396,0.4033210332103321,"SI","Sinker",26,-23.8,2.2,"9",4,17.2,-15.9,1.4,"9",0.7839721254355401,0.7979094076655052
"2024","Pepiot, Ryan","686752","Rays","TB","R","94.9","1084","2149",13.265432098765432,0.5044206607724523,"FF","4-Seam Fastball",11.1,-14.3,3.1,"22",19.4,8.8,-7.1,1.7,"23",0.9855769230769231,0.6971153846153846
"2024","Anderson, Tyler","542881","Angels","LAA","L","78.9","1082","2914",17.987654320987655,0.3713109128345916,"CH","Changeup",31.7,-35.8,-4.1,"-12",12.4,12.5,-12.4,0.1,"1",0.09961685823754789,0.4099616858237548
"2024","Sale, Chris","519242","Braves","ATL","L","94.8","1075","2815",17.376543209876544,0.38188277087033745,"FF","4-Seam Fastball",20.5,-15.8,-4.6,"-29",10.1,14.9,-9,5.9,"65",0.03125,0.9855769230769231
"2024","Canning, Griffin","656288","Angels","LAA","R","93.4","1069","2869",17.709876543209877,0.3726036946671314,"FF","4-Seam Fastball",15.2,-15.2,0,"0",16.2,8.1,-7.5,0.6,"8",0.5240384615384616,0.5408653846153846
"2024","Gomber, Austin","596295","Rockies","COL","L","90.4","1058","2621",16.179012345679013,0.4036627241510874,"FF","4-Seam Fastball",16.4,-15.9,-0.4,"-3",17,7.6,-5.5,2.1,"39",0.43509615384615385,0.7451923076923077
"2024","Blanco, Ronel","669854","Astros","HOU","R","93.4","1055","2751",17.08695652173913,0.38349691021446747,"FF","4-Seam Fastball",12.9,-14.8,1.9,"13",18.5,7.3,-6.6,0.7,"10",0.9134615384615384,0.5649038461538461
"2024","Nola, Aaron","605400","Phillies","PHI","R","79.1","1049","3189",19.685185185185187,0.32894324239573536,"CU","Curveball",53.9,-52.4,1.5,"3",-9.9,14,12.2,1.8,"15",0.5428571428571428,0.6952380952380952
"2024","Estes, Joey","683155","Athletics","OAK","R","92.4","1039","2027",12.512345679012345,0.5125801677355698,"FF","4-Seam Fastball",15.6,-15.7,0.2,"1",16.6,9.6,-7.3,2.3,"31",0.5745192307692307,0.7764423076923077
"2024","Flexen, Chris","623167","White Sox","CWS","R","91.3","1038","2797",17.265432098765434,0.37111190561315693,"FF","4-Seam Fastball",14.6,-15,0.4,"3",18.3,1.6,-5.4,-3.8,"-70",0.6201923076923077,0.0985576923076923
"2024","Sears, JP","676664","Athletics","OAK","L","91.9","1032","2856",17.62962962962963,0.36134453781512604,"FF","4-Seam Fastball",17.7,-18.5,0.8,"4",14.8,11.6,-10.6,1,"9",0.6971153846153846,0.6057692307692307
"2024","Corbin, Patrick","571578","Nationals","WSH","L","91.5","1030","2888",17.82716049382716,0.35664819944598336,"SI","Sinker",21.8,-22.9,-1.1,"-5",10.9,13.9,-14.1,-0.2,"-2",0.397212543554007,0.36585365853658536
"2024","Severino, Luis","622663","Mets","NYM","R","96.2","1030","2889",17.833333333333332,0.35652474904811354,"FF","4-Seam Fastball",13.9,-13.6,-0.3,"-2",15.7,6.5,-7.5,-1,"-14",0.4495192307692308,0.3389423076923077
"2024","Ober, Bailey","641927","Twins","MIN","R","91.7","1028","2696",16.641975308641975,0.38130563798219586,"FF","4-Seam Fastball",15.7,-15.7,0,"0",16.8,7.9,-6.2,1.7,"28",0.5240384615384616,0.6971153846153846
"2024","Arrighetti, Spencer","681293","Astros","HOU","R","94.1","1018","2505",15.559006211180124,0.4063872255489022,"FF","4-Seam Fastball",15.7,-16.2,0.5,"3",15.3,11.9,-9.2,2.7,"29",0.6442307692307693,0.8197115384615384
"2024","Ryan, Joe","657746","Twins","MIN","R","94","1018","2106",13,0.48338081671415006,"FF","4-Seam Fastball",17.2,-17.7,0.5,"3",13.9,11.8,-11.1,0.7,"6",0.6442307692307693,0.5649038461538461
"2024","Hicks, Jordan","663855","Giants","SF","R","94.5","1009","1958",12.08641975308642,0.5153217568947907,"SI","Sinker",25.2,-22.4,2.7,"12",5.5,15.9,-15.1,0.8,"5",0.8362369337979094,0.6341463414634146
