"year","last_name, first_name","pitcher_id","team_name","team_name_abbrev","pitch_hand","avg_speed","pitches_thrown","total_pitches","pitches_per_game","pitch_per","pitch_type","pitch_type_name","pitcher_break_z","league_break_z","diff_z","rise","pitcher_break_z_induced","pitcher_break_x","league_break_x","diff_x","tail","percent_rank_diff_z","percent_rank_diff_x"
"2021","Richards, Garrett","572070","Red Sox","BOS","R","94.3","1236","2331",14.38888888888889,0.5302445302445302,"FF","4-Seam Fastball",22,-15.1,-6.9,"-45",8.7,1.3,-7.7,-9,"-116",0,0.002352941176470588
"2021","Snell, Blake","605483","Padres","SD","L","95.1","1233","2347",14.487654320987655,0.5253515125692373,"FF","4-Seam Fastball",11.6,-12.9,1.4,"11",18.8,5.8,-6.1,-0.4,"-6",0.8188235294117647,0.4117647058823529
"2021","Peralta, Freddy","642547","Brewers","MIL","R","93.4","1218","2356",14.54320987654321,0.5169779286926995,"FF","4-Seam Fastball",14.9,-16.3,1.4,"9",16.5,7,-8,-1,"-13",0.8188235294117647,0.3623529411764706
"2021","McKenzie, Triston","663474","Guardians","CLE","R","92.1","1216","1975",12.191358024691358,0.6156962025316456,"FF","4-Seam Fastball",12.5,-15,2.5,"17",19.8,3.4,-6.2,-2.7,"-45",0.9576470588235294,0.18588235294117647
"2021","Miley, Wade","489119","Reds","CIN","L","85.4","1206","2592",16,0.4652777777777778,"FC","Cutter",30.4,-30.4,0.1,"0",6.9,4,3.5,0.5,"14",0.5639097744360902,0.5639097744360902
"2021","Hendricks, Kyle","543294","Cubs","CHC","R","87.3","1196","2809",17.339506172839506,0.4257742969028124,"SI","Sinker",26.6,-26.6,-0.1,"0",9.2,13.7,-14.3,-0.5,"-4",0.5228215767634855,0.33195020746887965
"2021","Gray, Jon","592351","Rockies","COL","R","94.9","1182","2537",15.75776397515528,0.4659046117461569,"FF","4-Seam Fastball",19.2,-15,-4.2,"-28",11.1,12.9,-8.2,4.7,"57",0.04,0.9388235294117647
"2021","Hill, Rich","448179","Mets","NYM","L","88.1","1176","2496",15.407407407407407,0.47115384615384615,"FF","4-Seam Fastball",16.1,-18.1,2,"11",19.3,9.2,-6.8,2.4,"36",0.8941176470588236,0.7623529411764706
"2021","Taillon, Jameson","592791","Yankees","NYY","R","93.9","1174","2372",14.641975308641975,0.49494097807757165,"FF","4-Seam Fastball",13.2,-14.3,1.1,"8",17.9,3.4,-6.9,-3.5,"-51",0.7552941176470588,0.13176470588235295
"2021","Gonzales, Marco","594835","Mariners","SEA","L","88.4","1168","2324",14.345679012345679,0.5025817555938038,"FF","4-Seam Fastball",17.5,-18,0.5,"3",17.5,10.7,-7,3.7,"53",0.6188235294117647,0.8611764705882353
"2021","Lyles, Jordan","543475","Rangers","TEX","R","93","1168","2964",18.296296296296298,0.3940620782726046,"FF","4-Seam Fastball",13.6,-14.7,1.1,"8",18.1,7,-6.7,0.3,"4",0.7552941176470588,0.5223529411764706
"2021","Stroman, Marcus","573186","Mets","NYM","R","91.9","1152","2741",16.919753086419753,0.4202845676760306,"SI","Sinker",27.9,-25.1,2.8,"11",4.2,9.8,-15,-5.2,"-35",0.8464730290456431,0.016597510373443983
"2021","Paddack, Chris","663978","Padres","SD","R","94.8","1149","1869",11.537037037037036,0.6147672552166934,"FF","4-Seam Fastball",13.1,-13.4,0.3,"2",17.5,9.5,-6.4,3.1,"49",0.5788235294117647,0.8211764705882353
"2021","Bubic, Kris","663460","Royals","KC","L","90.9","1144","2202",13.592592592592593,0.51952770208901,"FF","4-Seam Fastball",17.7,-16.6,-1.1,"-6",15.4,6.2,-7,-0.8,"-12",0.28705882352941176,0.36941176470588233
"2021","Gallen, Zac","668678","D-backs","AZ","R","93.4","1130","2102",12.975308641975309,0.5375832540437678,"FF","4-Seam Fastball",14.1,-14.9,0.7,"5",17.4,3.4,-7.1,-3.7,"-52",0.6776470588235294,0.11529411764705882
"2021","Flexen, Chris","623167","Mariners","SEA","R","92.8","1124","2811",17.35185185185185,0.39985770188545,"FF","4-Seam Fastball",13.5,-14,0.5,"4",18.4,2,-5.8,-3.7,"-65",0.6188235294117647,0.11529411764705882
"2021","Minor, Mike","501985","Royals","KC","L","90.9","1123","2621",16.179012345679013,0.4284624189240748,"FF","4-Seam Fastball",18.2,-16.4,-1.8,"-11",14.7,1.9,-7.2,-5.3,"-73",0.17176470588235293,0.04
"2021","Garcia, Luis","677651","Astros","HOU","R","93.3","1118","2502",15.444444444444445,0.44684252597921664,"FF","4-Seam Fastball",13,-15.1,2.1,"14",18.5,5,-7.1,-2,"-29",0.9011764705882352,0.2541176470588235
"2021","Means, John","607644","Orioles","BAL","L","92.8","1116","2328",14.37037037037037,0.4793814432989691,"FF","4-Seam Fastball",11.9,-14.5,2.6,"18",20.1,6.7,-6.3,0.4,"6",0.9694117647058823,0.5364705882352941
"2021","Nola, Aaron","605400","Phillies","PHI","R","92.9","1113","2971",18.339506172839506,0.3746213396162908,"FF","4-Seam Fastball",17.6,-16.6,-1,"-6",14.2,13.3,-8.2,5.1,"63",0.31529411764705884,0.9623529411764706
"2021","Morton, Charlie","450203","Braves","ATL","R","80.6","1096","2987",18.5527950310559,0.3669233344492802,"CU","Curveball",52.5,-51.2,1.4,"3",-10.1,16.6,10.4,6.2,"60",0.5668016194331984,0.9676113360323887
"2021","Skubal, Tarik","669373","Tigers","DET","L","94.3","1092","2547",15.722222222222221,0.4287396937573616,"FF","4-Seam Fastball",14.8,-14.1,-0.7,"-5",16.1,8.3,-6.7,1.6,"23",0.38588235294117645,0.6494117647058824
"2021","Irvin, Cole","608344","Athletics","OAK","L","90.8","1090","2682",16.555555555555557,0.4064131245339299,"FF","4-Seam Fastball",16.6,-16,-0.6,"-4",16.6,8.2,-6.5,1.7,"27",0.4047058823529412,0.6823529411764706
"2021","Valdez, Framber","664285","Astros","HOU","L","92.5","1089","2090",12.901234567901234,0.5210526315789473,"SI","Sinker",27.2,-22.6,4.5,"20",4.9,13,-14.9,-1.9,"-13",0.9377593360995851,0.16597510373443983
"2021","Rodriguez, Eduardo","593958","Red Sox","BOS","L","92.5","1087","2721",16.796296296296298,0.39948548327820654,"FF","4-Seam Fastball",17.1,-15.7,-1.4,"-9",14.7,7.3,-7.5,-0.2,"-3",0.22823529411764706,0.4423529411764706
"2021","Morton, Charlie","450203","Braves","ATL","R","95.5","1079","2987",18.5527950310559,0.36123200535654504,"FF","4-Seam Fastball",17.5,-14.6,-2.9,"-20",12.5,13,-8.2,4.8,"58",0.09176470588235294,0.9435294117647058
