"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Burnes, Corbin",669203,"MIL","FC","Cutter",1.4,23,"1706",55.4,"455","0.209","0.34","0.298",22.7,19.8,22.1,"0.245","0.387","0.323",34.1
"Javier, Cristian",664299,"HOU","FF","4-Seam Fastball",0.1,2,"1682",58.4,"450","0.236","0.455","0.331",26.5,21.8,19,"0.233","0.489","0.343",41.3
"Strider, Spencer",675911,"ATL","FF","4-Seam Fastball",0.5,8,"1826",58.9,"435","0.256","0.431","0.339",28.7,28.5,22.3,"0.24","0.418","0.317",40.7
"Webb, Logan",657277,"SF","CH","Changeup",2.2,30,"1324",41.6,"433","0.225","0.309","0.254",22.8,21.2,19.8,"0.236","0.322","0.257",44
"Steele, Justin",657006,"CHC","FF","4-Seam Fastball",1,17,"1682",62.8,"431","0.274","0.391","0.328",20.4,19,19.8,"0.279","0.405","0.326",35.9
"Cole, Gerrit",543037,"NYY","FF","4-Seam Fastball",1.7,30,"1737",52.9,"427","0.202","0.333","0.276",23,28.3,21.6,"0.224","0.402","0.303",46.1
"Gallen, Zac",668678,"AZ","FF","4-Seam Fastball",1.6,26,"1614",49.7,"412","0.239","0.367","0.293",19.3,22.3,21.4,"0.256","0.443","0.327",51.4
"Gausman, Kevin",592332,"TOR","FF","4-Seam Fastball",1.3,21,"1555",50.7,"411","0.243","0.409","0.316",17.2,26.5,24.7,"0.271","0.483","0.347",52.6
"Corbin, Patrick",571578,"WSH","SI","Sinker",-0.5,-6,"1213",41.5,"398","0.315","0.449","0.374",7.1,10.8,13.4,"0.315","0.47","0.37",45.4
"Valdez, Framber",664285,"HOU","SI","Sinker",0.5,7,"1380",46.8,"390","0.273","0.453","0.352",12.7,9,20.5,"0.308","0.516","0.389",50
"Bassitt, Chris",605135,"TOR","SI","Sinker",2.2,28,"1232",39.2,"374","0.22","0.335","0.292",14.5,16.6,19.6,"0.251","0.395","0.315",38.6
"Kopech, Michael",656629,"CWS","FF","4-Seam Fastball",-0.8,-11,"1496",61.6,"370","0.243","0.46","0.395",26.3,21.1,20.6,"0.239","0.444","0.39",43.6
"Sears, JP",676664,"OAK","FF","4-Seam Fastball",-0.9,-13,"1437",50.1,"369","0.256","0.478","0.365",21.8,23.6,17.8,"0.247","0.467","0.348",43.5
"Montgomery, Jordan",656756,"TEX","SI","Sinker",1,12,"1246",42.7,"364","0.257","0.379","0.322",14.2,14.8,18.2,"0.275","0.426","0.334",42.4
"Ryan, Joe",657746,"MIN","FF","4-Seam Fastball",0.9,14,"1525",56.8,"356","0.241","0.458","0.317",28.7,33.7,23.2,"0.208","0.38","0.274",44.2
"Nelson, Ryne",669194,"AZ","FF","4-Seam Fastball",-0.8,-10,"1283",54.5,"353","0.309","0.555","0.389",16.7,14.4,13.2,"0.293","0.55","0.383",47.3
"Ashcraft, Graham",668933,"CIN","FC","Cutter",0.2,2,"1230",52.9,"352","0.292","0.436","0.367",17.4,11.4,14.3,"0.293","0.424","0.359",39.9
"Waldichuk, Ken",686610,"OAK","FF","4-Seam Fastball",-0.6,-9,"1386",54.3,"346","0.275","0.493","0.394",17.8,15.6,13.6,"0.252","0.463","0.366",42.6
"Snell, Blake",605483,"SD","FF","4-Seam Fastball",0,-1,"1539",48.6,"343","0.255","0.391","0.369",19.6,18.7,18.4,"0.289","0.502","0.405",43.4
"Peralta, Freddy",642547,"MIL","FF","4-Seam Fastball",1.1,17,"1453",51.2,"340","0.213","0.387","0.297",29.2,31.5,20.7,"0.211","0.362","0.287",43.5
"Gore, MacKenzie",669022,"WSH","FF","4-Seam Fastball",-0.4,-6,"1464",59.5,"338","0.279","0.503","0.378",21.6,22.2,17.5,"0.279","0.518","0.378",46.6
"Morton, Charlie",450203,"ATL","CU","Curveball",1.7,21,"1228",43.2,"334","0.177","0.258","0.242",42,37.1,26.4,"0.19","0.29","0.253",31.6
"Verlander, Justin",434378,"HOU","FF","4-Seam Fastball",0.7,9,"1302",50,"334","0.235","0.417","0.322",18.1,16.5,18,"0.254","0.464","0.337",50.4
"Singer, Brady",663903,"KC","SI","Sinker",-1,-13,"1294",49.5,"333","0.338","0.56","0.422",11.7,13.2,16.5,"0.305","0.522","0.382",49.6
"Smyly, Drew",592767,"CHC","CU","Curveball",-0.2,-2,"1187",49.4,"331","0.229","0.399","0.312",36,29.9,23.6,"0.193","0.308","0.248",24.5
"Cease, Dylan",656302,"CWS","SL","Slider",0.4,5,"1260",38.6,"331","0.216","0.339","0.286",43.3,36,23.1,"0.217","0.324","0.275",43.2
"Williams, Trevor",592866,"WSH","FF","4-Seam Fastball",-0.8,-9,"1130",43.1,"330","0.284","0.565","0.386",16.8,20,17.2,"0.275","0.539","0.369",41.1
"Cease, Dylan",656302,"CWS","FF","4-Seam Fastball",0,-1,"1408",43.2,"330","0.273","0.436","0.37",20.6,20.9,17.9,"0.25","0.399","0.341",40.5
"Lynn, Lance",458681,"LAD","FF","4-Seam Fastball",-0.4,-6,"1385",43.7,"327","0.255","0.52","0.367",31.6,27.5,21.2,"0.246","0.497","0.348",46.8
"Heaney, Andrew",571760,"TEX","FF","4-Seam Fastball",0,0,"1506",57.9,"327","0.236","0.431","0.348",25.6,25.4,17.8,"0.217","0.43","0.336",40.2
"Giolito, Lucas",608337,"CLE","FF","4-Seam Fastball",-0.7,-10,"1336",41.9,"325","0.262","0.546","0.381",20,24.9,20.5,"0.263","0.511","0.369",50.2
"Oviedo, Johan",670912,"PIT","SL","Slider",1,11,"1091",36.6,"324","0.21","0.349","0.312",32.7,27.2,23.3,"0.223","0.35","0.303",36.6
"Singer, Brady",663903,"KC","SL","Slider",0.4,4,"1098",42,"322","0.241","0.397","0.3",33.2,25.2,22.1,"0.249","0.399","0.304",49.5
"Castillo, Luis",622491,"SEA","FF","4-Seam Fastball",1.5,21,"1420",44.3,"318","0.167","0.387","0.284",32.9,32.7,21,"0.185","0.423","0.301",47.5
"Wheeler, Zack",554430,"PHI","FF","4-Seam Fastball",1.7,23,"1367",43.3,"318","0.201","0.337","0.27",31.2,31.8,23.4,"0.2","0.338","0.263",43.4
"Gilbert, Logan",669302,"SEA","FF","4-Seam Fastball",0.2,3,"1220",41.8,"311","0.281","0.493","0.36",17.7,17,16.7,"0.273","0.505","0.353",55.3
"Kirby, George",669923,"SEA","FF","4-Seam Fastball",1,11,"1123",39.8,"311","0.24","0.402","0.294",27.8,28.3,21.6,"0.254","0.439","0.31",44.3
"Miller, Bryce",682243,"SEA","FF","4-Seam Fastball",0.4,4,"1216",58.1,"310","0.257","0.451","0.333",27.5,26.1,21.4,"0.254","0.46","0.329",40.1
"Luzardo, Jesús",666200,"MIA","FF","4-Seam Fastball",0.8,10,"1235",41.3,"310","0.225","0.386","0.316",20.3,21.3,18.3,"0.264","0.483","0.351",44.2
"Megill, Tylor",656731,"NYM","FF","4-Seam Fastball",-1,-12,"1242",55.6,"304","0.314","0.494","0.407",18.6,13.8,15,"0.312","0.545","0.408",48.6
"Gausman, Kevin",592332,"TOR","FS","Split-Finger",0.1,1,"1176",38.3,"303","0.201","0.307","0.266",43.2,41.9,23.9,"0.176","0.272","0.238",29.3
"Oviedo, Johan",670912,"PIT","FF","4-Seam Fastball",-0.9,-10,"1157",38.8,"302","0.275","0.465","0.371",18.5,16.2,16.8,"0.276","0.467","0.368",47.2
"Elder, Bryce",693821,"ATL","SI","Sinker",-0.1,-1,"1090",38.3,"300","0.283","0.415","0.36",13.4,11.7,14.1,"0.305","0.452","0.372",45.6
"Dunning, Dane",641540,"TEX","SI","Sinker",1.4,13,"915",33.9,"299","0.249","0.358","0.311",8.6,17.1,18.6,"0.269","0.418","0.334",46.3
