"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Verlander, Justin",434378,"HOU","FF","4-Seam Fastball",-0.7,-5,"767",48.5,"213","0.299","0.497","0.372",20.2,17.4,18.5,"0.239","0.422","0.321",41.6
"Lively, Ben",594902,"CLE","SI","Sinker",0.4,3,"717",29.8,"213","0.218","0.381","0.299",13.6,25.4,19.2,"0.21","0.368","0.281",44.8
"Rea, Colin",607067,"MIL","SI","Sinker",-0.4,-3,"818",30.9,"213","0.297","0.479","0.376",11.2,11.7,15.6,"0.306","0.522","0.386",50.6
"Corbin, Patrick",571578,"WSH","SL","Slider",0.4,4,"989",34.2,"212","0.218","0.337","0.275",35.7,25.5,17.2,"0.213","0.328","0.274",32.4
"Heaney, Andrew",571760,"TEX","SL","Slider",-0.2,-2,"744",27.2,"211","0.264","0.391","0.318",36.7,28,22.6,"0.248","0.42","0.315",41.7
"Skenes, Paul",694973,"PIT","FF","4-Seam Fastball",0.8,7,"834",39.2,"210","0.23","0.351","0.292",24.2,37.6,21.8,"0.201","0.331","0.269",48.7
"Kopech, Michael",656629,"LAD","FF","4-Seam Fastball",0.6,5,"896",78.4,"209","0.183","0.326","0.291",34,34,26.7,"0.184","0.334","0.29",42.1
"Eflin, Zach",621107,"BAL","SI","Sinker",0.5,4,"706",28.9,"208","0.29","0.4","0.326",13.8,15.9,19.5,"0.268","0.384","0.299",47.3
"Kirby, George",669923,"SEA","SI","Sinker",1.3,9,"703",23.7,"208","0.266","0.362","0.302",10.5,12,13.5,"0.261","0.381","0.296",39.7
"Woo, Bryan",693433,"SEA","FF","4-Seam Fastball",1.6,14,"837",48.8,"207","0.214","0.352","0.26",27.5,26.1,18.6,"0.224","0.372","0.275",38.2
"Greene, Hunter",668881,"CIN","SL","Slider",0.8,7,"886",34.6,"206","0.162","0.302","0.259",39.2,28.6,20.9,"0.168","0.273","0.254",22.3
"Valdez, Framber",664285,"HOU","CU","Curveball",1.8,14,"813",31.3,"205","0.121","0.187","0.191",39.8,44.9,25.6,"0.132","0.185","0.196",35.9
"Kochanowicz, Jack",686799,"LAA","SI","Sinker",0.1,1,"624",72.6,"205","0.29","0.43","0.353",12,4.9,8,"0.303","0.462","0.349",44.6
"Pfaadt, Brandon",694297,"AZ","SI","Sinker",-0.3,-2,"619",22.2,"203","0.288","0.366","0.332",11.9,23.6,27,"0.259","0.345","0.289",37.1
"Smith, Cade",671922,"CLE","FF","4-Seam Fastball",3,24,"806",69.1,"203","0.174","0.253","0.215",30.4,39.9,31.4,"0.191","0.311","0.247",46.4
"Vodnik, Victor",680767,"COL","FF","4-Seam Fastball",-0.5,-4,"848",63.2,"203","0.291","0.451","0.377",18.2,17.7,14.9,"0.289","0.487","0.383",51.1
