antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Hitter_Types_Hitters With Good Contact', 'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)'})",frozenset({'events_single'}),0.11216601815823606,0.4316472114137484,0.056653696498054476,0.5050878815911194,1.1701404949121186,1.0,0.008237547544668017,1.148391335442501,0.16377134620575282,0.11629392971246007,0.12921669718565276,0.3181689407955597
frozenset({'Hitter_Types_Hitters With Good Contact'}),frozenset({'events_single'}),0.18428015564202335,0.4316472114137484,0.09094682230869001,0.49352477477477474,1.1433521675220892,1.0,0.011402807006919105,1.1221729322169902,0.153703308842377,0.1732384622986461,0.10887175114411528,0.3521109450796951
frozenset({'impact_archetype_Sinker Aces (Elite Sinker Impact)'}),frozenset({'events_single'}),0.029364461738002594,0.4316472114137484,0.014474708171206226,0.4929328621908127,1.1419808796547974,1.0,0.0017996201473316938,1.1208629907310745,0.12808988677942545,0.03241547577553154,0.1078302983777193,0.2632332580184833
"frozenset({'impact_archetype_Sinker Liability Pitchers (Sinker Gets Crushed)', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_single'}),0.030869001297016863,0.4316472114137484,0.014682230869001297,0.4756302521008403,1.1018958063994828,1.0,0.0013577125400165858,1.0838779141308323,0.09541865603317157,0.032784986098239106,0.07738686528924661,0.2548223375888817
"frozenset({'Hitter_Types_Hitters With Good Contact', 'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)'})",frozenset({'events_single'}),0.03185473411154345,0.4316472114137484,0.01457846952010376,0.4576547231270358,1.0602517774367326,1.0,0.0008284623705296212,1.0479537903662417,0.058697597764649154,0.032474286374667746,0.04575945123446964,0.24571438079428715
frozenset({'impact_archetype_Sinker Liability Pitchers (Sinker Gets Crushed)'}),frozenset({'events_single'}),0.06443579766536965,0.4316472114137484,0.029364461738002594,0.45571658615136873,1.055761682460052,1.0,0.0015509293605252654,1.0442221352427878,0.0564542155635751,0.06291685193419297,0.042349356281846814,0.26187271615260743
"frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_single'}),0.04409857328145266,0.4316472114137484,0.020025940337224383,0.45411764705882346,1.0520574095022621,1.0,0.0009909141529605078,1.0411635135739523,0.05176425925014564,0.04394353369763205,0.03953607001906178,0.2502559389140271
frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)'}),frozenset({'events_single'}),0.09219195849546044,0.4316472114137484,0.04051880674448768,0.4395047833427124,1.0182036897753344,1.0,0.0007244049451501436,1.01401898124274,0.019693854896751163,0.08383426363246027,0.013825166492996949,0.26668748782520235
frozenset({'Hitter_Types_Balanced Hitters'}),frozenset({'events_single'}),0.47294422827496757,0.4316472114137484,0.2043579766536965,0.4320974111452392,1.0010429807481351,1.0,0.00021291936457951133,1.0007927411149835,0.0019768193966755152,0.2918426316959324,0.0007921131743026115,0.4527674555726196
frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)'}),frozenset({'events_single'}),0.6015045395590143,0.4316472114137484,0.25976653696498053,0.4318613075728825,1.0004959980128978,1.0,0.00012877981162129348,1.0003768378425688,0.0012440596444494264,0.33588247132219756,0.0003766958893025667,0.5168320960941335
"frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_single'}),0.2823865110246433,0.4316472114137484,0.12093385214007782,0.4282564762079736,0.9921446609265253,1.0,-0.000957497884567185,0.9940694820934987,-0.010912743545050955,0.20390132960111965,-0.0059658987760209635,0.3542123727193714
frozenset({'impact_archetype_Slider Aces (Elite Slider Impact)'}),frozenset({'events_single'}),0.03621271076523995,0.4316472114137484,0.014941634241245135,0.4126074498567335,0.9558904562486222,1.0,-0.0006894813783033162,0.9675859669102527,-0.04569116085800084,0.03298969072164948,-0.03349989995540508,0.22361141723605904
frozenset({'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)'}),frozenset({'events_single'}),0.1762905317769131,0.4316472114137484,0.0725810635538262,0.4117127722189523,0.953817750543306,1.0,-0.0035142528863251338,0.9661144450305568,-0.05551745636175318,0.1355751526310689,-0.03507405892101276,0.28993090534024535
"frozenset({'Hitter_Types_Balanced Hitters', 'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)'})",frozenset({'events_single'}),0.08363164721141375,0.4316472114137484,0.03429312581063554,0.4100496277915633,0.9499647326541325,1.0,-0.0018062414941095936,0.9633908466887883,-0.054353495798096126,0.07129759464998381,-0.038000312580339396,0.24474837158808932
"frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)', 'Hitter_Types_Power Hitters'})",frozenset({'events_single'}),0.03060959792477302,0.4316472114137484,0.01224383916990921,0.4,0.9266826923076923,1.0,-0.0009687084168151245,0.9472546476437527,-0.07545769421078667,0.027207747290753977,-0.05568233683249658,0.21418269230769232
frozenset({'Hitter_Types_Power Hitters'}),frozenset({'events_single'}),0.3427756160830091,0.4316472114137484,0.13634241245136186,0.39775995156652033,0.9214931570246009,1.0,-0.01161572637149863,0.9437313079138889,-0.11475350203009867,0.21367590861045613,-0.059623636107286264,0.35681266809095247
"frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Hitter_Types_Power Hitters'})",frozenset({'events_single'}),0.2069520103761349,0.4316472114137484,0.08217898832684825,0.39709200300827274,0.9199457161039011,1.0,-0.007151269848479497,0.9426857686779865,-0.09887940053674922,0.14769230769230768,-0.06079887193204412,0.29373830919644406
"frozenset({'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)', 'Hitter_Types_Power Hitters'})",frozenset({'events_single'}),0.0608041504539559,0.4316472114137484,0.0237094682230869,0.3899317406143345,0.9033574880217905,1.0,-0.00253647376274517,0.9316216338784433,-0.10225940476392012,0.05058107360265633,-0.0733971428259884,0.22242981261485956
frozenset({'impact_archetype_Slider Aces (Elite Slider Impact)'}),frozenset({'events_walk'}),0.03621271076523995,0.23813229571984434,0.010272373540856031,0.2836676217765043,1.1912186077869544,1.0,0.0016489575920907214,1.0635673151750973,0.1665549286263073,0.03889980353634578,0.05976802245434937,0.16340243833923254
"frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Hitter_Types_Power Hitters'})",frozenset({'events_walk'}),0.2069520103761349,0.23813229571984434,0.05333333333333334,0.25770869892203563,1.0822080984144307,1.0,0.004051375998627288,1.0263729389981564,0.09578651099070347,0.13614090848894186,0.02569527897325414,0.24083692026711806
frozenset({'Hitter_Types_Power Hitters'}),frozenset({'events_walk'}),0.3427756160830091,0.23813229571984434,0.08814526588845654,0.2571515059785076,1.0798682522300076,1.0,0.006519321513825588,1.0256030811285632,0.11253555045381353,0.17887976416087595,0.024963927663311847,0.31365200571256535
frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)'}),frozenset({'events_walk'}),0.09219195849546044,0.23813229571984434,0.023501945525291827,0.25492402926280244,1.0705143058911804,1.0,0.0015480628018592242,1.022536941469665,0.07255890739452525,0.07659790328035171,0.02204022227037912,0.17680841986015938
"frozenset({'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)', 'Hitter_Types_Power Hitters'})",frozenset({'events_walk'}),0.0608041504539559,0.23813229571984434,0.015201037613488975,0.25,1.0498366013071896,1.0,0.0007216056765936407,1.0158236057068741,0.050544108711263365,0.05357469372828671,0.015577119509703797,0.15691721132897604
frozenset({'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)'}),frozenset({'events_walk'}),0.1762905317769131,0.23813229571984434,0.04337224383916991,0.2460270747498529,1.0331529119397418,1.0,0.001391774793461427,1.0104709052084186,0.038956776872928534,0.11689038031319914,0.010362401484740527,0.2140810755012881
"frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_walk'}),0.04409857328145266,0.23813229571984434,0.010843060959792478,0.24588235294117647,1.0325451749327181,1.0,0.0003417664663103656,1.0102769869549644,0.03297345374043225,0.03995411967119098,0.010172444871717855,0.14570806100217865
"frozenset({'Hitter_Types_Balanced Hitters', 'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)'})",frozenset({'events_walk'}),0.08363164721141375,0.23813229571984434,0.01992217898832685,0.23821339950372208,1.0003405828832774,1.0,6.7828430407729234e-06,1.000106465227696,0.00037153937609693473,0.06600206256445514,0.00010645389405811574,0.16093676511133817
frozenset({'impact_archetype_Sinker Liability Pitchers (Sinker Gets Crushed)'}),frozenset({'events_walk'}),0.06443579766536965,0.23813229571984434,0.015045395590142672,0.23349436392914655,0.9805237178070371,1.0,-0.00029884883445118957,0.9939492528528922,-0.020789798899000064,0.0523276795380729,-0.006087581563888324,0.1483375959079284
frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)'}),frozenset({'events_walk'}),0.6015045395590143,0.23813229571984434,0.14007782101167315,0.23287907538381922,0.9779399080660383,1.0,-0.00315983587942284,0.9931520309674078,-0.05357450898247841,0.20023731830317412,-0.006895187060053411,0.41055718475073316
frozenset({'Hitter_Types_Balanced Hitters'}),frozenset({'events_walk'}),0.47294422827496757,0.23813229571984434,0.10858625162127107,0.22959631417288284,0.9641544565756682,1.0,-0.004037043205297075,0.9889201184989176,-0.06589148751208773,0.18022905364677516,-0.011204020723029142,0.3427937997879665
frozenset({'Hitter_Types_Hitters With Good Contact'}),frozenset({'events_walk'}),0.18428015564202335,0.23813229571984434,0.04140077821011673,0.22466216216216214,0.943434243066596,1.0,-0.0024822783085285197,0.9826267558471724,-0.06846962666780713,0.10866013071895425,-0.01768041023659002,0.19925918565624445
"frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_walk'}),0.2823865110246433,0.23813229571984434,0.06334630350194552,0.2243248208708433,0.9420176301275609,1.0,-0.0038990446486699276,0.9821994112735403,-0.07899646117972567,0.13856105310939626,-0.018123192217534577,0.24516894638313408
"frozenset({'Hitter_Types_Hitters With Good Contact', 'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)'})",frozenset({'events_walk'}),0.11216601815823606,0.23813229571984434,0.023398184176394294,0.2086031452358927,0.8759968680657586,1.0,-0.0033121672293802036,0.9626873037134404,-0.13751494940279482,0.07157594032693224,-0.038758895170457455,0.15343011292295725
"frozenset({'Hitter_Types_Balanced Hitters', 'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)'})",frozenset({'events_double'}),0.08363164721141375,0.13328145265888455,0.012347600518806744,0.14764267990074442,1.1077511308239973,1.0,0.0012010530902141683,1.0168488342895765,0.10614744680638497,0.06036013187927974,0.016569654919600683,0.1201428658359308
frozenset({'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)'}),frozenset({'events_double'}),0.1762905317769131,0.13328145265888455,0.024747081712062257,0.14037669217186582,1.0532350103591726,1.0,0.0012508235468280324,1.0082538938257823,0.061361786870740925,0.08688524590163935,0.00818632477030492,0.16302602611707345
"frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_double'}),0.2823865110246433,0.13328145265888455,0.039584954604409854,0.14018004776777512,1.051759603240119,1.0,0.0019480702037712808,1.0080233019610452,0.06857784899793615,0.10525589736515381,0.007959440962759832,0.2185913862817077
frozenset({'Hitter_Types_Balanced Hitters'}),frozenset({'events_double'}),0.47294422827496757,0.13328145265888455,0.06526588845654993,0.13799912242211496,1.0353962961020888,1.0,0.0022311946854271514,1.0054729291882933,0.06486264264646813,0.12064831686966529,0.005443139272492879,0.31384191232043857
"frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Hitter_Types_Power Hitters'})",frozenset({'events_double'}),0.2069520103761349,0.13328145265888455,0.0282230869001297,0.13637503133617448,1.0232108715472026,1.0,0.0006402223265218922,1.0035820857311202,0.028604004240712386,0.09045560359161955,0.0035693001918330803,0.17406528912079258
frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)'}),frozenset({'events_double'}),0.6015045395590143,0.13328145265888455,0.08186770428015565,0.13610488183543212,1.0211839616107257,1.0,0.0016983054668167352,1.0032682545799614,0.052057081577853895,0.12538736591179978,0.0032576078880614404,0.37517583523457093
frozenset({'Hitter_Types_Power Hitters'}),frozenset({'events_double'}),0.3427756160830091,0.13328145265888455,0.045603112840466926,0.13304071439382473,0.9981937601950066,1.0,-8.251920712063626e-05,0.9997223188342789,-0.002745698259779957,0.10594190671326985,-0.0002777582939679239,0.23759859775744174
frozenset({'Hitter_Types_Power Hitters'}),frozenset({'events_home_run'}),0.3427756160830091,0.1035538261997406,0.04549935149156939,0.1327380051460572,1.2818261769490242,1.0,0.010003624918200456,1.0336509372248366,0.3345326609681726,0.11351281387522648,0.032555416933286195,0.2860583813305436
