antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,ante_len,cons_len
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Sinker Liability Pitchers (Sinker Gets Crushed)'})",frozenset({'outcome_home_run'}),0.04550136042918851,0.04138164266059982,0.002398044671268043,0.052702702702702706,1.2735768643829566,1.0,0.0005151236334162074,1.0119509050373126,0.2250499354359693,0.028384279475982533,0.01180976762590271,0.05532609132163367,2,1
"frozenset({'pitcher_arch_FF Liability Pitchers (Bad Fastball Impact)', 'batter_arch_Selective / Moderate'})",frozenset({'outcome_home_run'}),0.048037753831491246,0.04138164266059982,0.0024134167524941202,0.05024,1.2140649034175333,1.0,0.00042553558922148963,1.0093269429533778,0.18521827690591167,0.02773851590106007,0.009240754959028877,0.05428047548291233,2,1
"frozenset({'batter_arch_Selective / Moderate', 'pitcher_arch_Sinker Liability Pitchers (Sinker Gets Crushed)'})",frozenset({'outcome_double'}),0.015049267520329578,0.04856040459317787,0.0008608365486603231,0.05720122574055158,1.1779396448559993,1.0,0.0001300380290421482,1.0091650746514396,0.15336814798960136,0.013718765311122,0.0090818389197677,0.037464177289395766,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_FF Liability Pitchers (Bad Fastball Impact)'})",frozenset({'outcome_home_run'}),0.1530444406868246,0.04138164266059982,0.007332482744838824,0.04791080755323423,1.1577792584548834,1.0,0.0009992523891452837,1.0068577239868202,0.1609027707147625,0.03919152082819818,0.00681101591957387,0.1125512433011342,2,1
"frozenset({'pitcher_arch_FF Liability Pitchers (Bad Fastball Impact)', 'batter_arch_Selective / Moderate'})",frozenset({'outcome_double'}),0.048037753831491246,0.04856040459317787,0.0025363934023027376,0.0528,1.0873056030389363,1.0,0.00020366064049804223,1.0044759242048376,0.08434721847071665,0.026965190390586695,0.004455979577988174,0.05251585944919278,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Sinker Liability Pitchers (Sinker Gets Crushed)'})",frozenset({'outcome_single'}),0.04550136042918851,0.14526616758642952,0.007055785282769434,0.15506756756756757,1.0674720077220077,1.0,0.0004459770332524036,1.011600217490671,0.06622040373974146,0.03840682788051209,0.011467195528532155,0.10181949806949807,2,1
"frozenset({'batter_arch_Selective / Moderate', 'pitcher_arch_Sinker Liability Pitchers (Sinker Gets Crushed)'})",frozenset({'outcome_home_run'}),0.015049267520329578,0.04138164266059982,0.0006609994927213196,0.043922369765066395,1.0613974444007668,1.0,3.823608189126989e-05,1.002657448541958,0.058729695533725236,0.01185226019845645,0.002650405226453457,0.029947811925623836,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_FF Liability Pitchers (Bad Fastball Impact)'})",frozenset({'outcome_double'}),0.1530444406868246,0.04856040459317787,0.007885877668977604,0.05152671755725191,1.0610850133750898,1.0,0.000453977708488788,1.0031274607508547,0.06797103290560284,0.04070782415489605,0.0031177102344639002,0.10695993997520717,2,1
"frozenset({'batter_arch_Selective / Moderate', 'pitcher_arch_Four-Seam Aces (Elite FF Impact)'})",frozenset({'outcome_double'}),0.036631669561741964,0.04856040459317787,0.0018753939095814182,0.051195971464540496,1.054273989136674,1.0,9.654521473962969e-05,1.0027777779099765,0.053437469754399135,0.02250922509225092,0.002770083233960529,0.04490789393106734,2,1
"frozenset({'batter_arch_Selective / Moderate', 'pitcher_arch_Sinker Aces (Elite Sinker Impact)'})",frozenset({'outcome_single'}),0.008792830461316157,0.14526616758642952,0.0013219989854426392,0.15034965034965037,1.0349942649942652,1.0,4.4698202090023885e-05,1.0059830290958074,0.03411100367405882,0.008655394524959744,0.005947445357189465,0.07972508972508974,2,1
